,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,text_name,start,end,entity_name,rho,link_prob,lon,lat,correct
0,0,0,0,0,0,Byzantine,475,484,Byzantine Empire,0.34622931480407715,0.3722924292087555,,,True
1,1,1,1,1,1,Iberian,794,801,Iberian Peninsula,0.17888610064983368,0.09881847351789473,-4.0,40.5,False
2,2,2,2,2,2,Georgian,802,810,Georgia (country),0.2789611220359802,0.4141660630702973,43.5,42.0,True
3,3,3,3,3,3,Armenian,915,923,Armenia,0.25400710105896,0.379287987947464,45.0,40.0,False
4,4,4,4,4,4,Chorokh,956,963,Çoruh River,0.375,0.75,41.5742,41.6047,True
5,5,5,5,5,5,Pontic,1101,1107,Black Sea,0.3260984718799591,0.14005602896213531,35.0,44.0,True
6,6,6,6,6,6,Byzantine,1192,1201,Byzantine Empire,0.3523635566234589,0.3722924292087555,,,False
7,7,7,7,7,7,Armenia,1394,1401,Armenia,0.5958771705627441,0.9456886649131776,45.0,40.0,True
8,8,8,8,8,8,Gibeonites,1495,1505,Gibeon (ancient city),0.3846153914928436,0.7692307829856873,,,True
